gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
A1BG	ENSG00000121410	obesity	0.002015	3
A1BG	ENSG00000121410	type_2_diabetes	0.003495	3
A1CF	ENSG00000148584	mash	0.036149	4
A1CF	ENSG00000148584	nafld	0.079856	9
A1CF	ENSG00000148584	obesity	0.036759	61
A1CF	ENSG00000148584	type_2_diabetes	0.314491	21
A2M	ENSG00000175899	mash	0.012265	10
A2M	ENSG00000175899	nafld	0.014064	8
A2M	ENSG00000175899	obesity	0.004571	5
A2M	ENSG00000175899	type_2_diabetes	0.078556	15
A2ML1	ENSG00000166535	nafld	0.007400	1
A2ML1	ENSG00000166535	type_2_diabetes	0.008696	2
A2MP1	ENSG00000256069	nafld	0.001480	1
A2MP1	ENSG00000291190	nafld	0.001480	1
A3GALT2	ENSG00000184389	type_2_diabetes	0.088346	1
A4GALT	ENSG00000128274	mash	0.006839	8
A4GALT	ENSG00000128274	nafld	0.031456	11
A4GALT	ENSG00000128274	obesity	0.019384	28
A4GALT	ENSG00000128274	type_2_diabetes	0.010177	54
A4GNT	ENSG00000118017	mash	0.003700	1
A4GNT	ENSG00000118017	obesity	0.001480	1
AAAS	ENSG00000094914	obesity	0.020859	3
AAAS	ENSG00000094914	type_2_diabetes	0.007956	2
AACS	ENSG00000081760	nafld	0.007380	3
AACS	ENSG00000081760	obesity	0.004140	6
AACS	ENSG00000081760	type_2_diabetes	0.001480	1
AADAC	ENSG00000114771	obesity	0.004440	1
AADAC	ENSG00000114771	type_2_diabetes	0.001480	1
AADAT	ENSG00000109576	type_2_diabetes	0.185994	2
AAGAB	ENSG00000103591	type_2_diabetes	0.031540	1
AANAT	ENSG00000129673	nafld	0.001480	1
AANAT	ENSG00000129673	obesity	0.002590	2
AANAT	ENSG00000129673	type_2_diabetes	0.002220	1
AARD	ENSG00000205002	type_2_diabetes	0.167163	2
AARS1	ENSG00000090861	obesity	0.001480	1
AASDH	ENSG00000157426	type_2_diabetes	0.193330	1
AASS	ENSG00000008311	mash	0.005625	4
AASS	ENSG00000008311	nafld	0.007655	7
AASS	ENSG00000008311	obesity	0.006167	10
AASS	ENSG00000008311	type_2_diabetes	0.026216	23
AATBC	ENSG00000215458	obesity	0.024031	3
AATF	ENSG00000275700	mash	0.013999	3
AATF	ENSG00000275700	nafld	0.006887	4
AATK	ENSG00000181409	obesity	0.204131	4
AATK	ENSG00000181409	type_2_diabetes	0.058184	2
ABAT	ENSG00000183044	nafld	0.008881	1
ABAT	ENSG00000183044	obesity	0.022758	5
ABAT	ENSG00000183044	type_2_diabetes	0.013321	1
ABCA1	ENSG00000165029	mash	0.016657	21
ABCA1	ENSG00000165029	nafld	0.046618	39
ABCA1	ENSG00000165029	obesity	0.070300	98
