ensembl_gene_id	score_D3_target_association_breadth	missingness_D3_target_association_breadth
ENSG00000006831	0.466240	0
ENSG00000008197	-2.073927	1
ENSG00000010310	0.677921	0
ENSG00000012504	0.924881	0
ENSG00000025434	0.536800	0
ENSG00000026103	0.113439	0
ENSG00000043591	0.360400	0
ENSG00000051341	-0.133522	0
ENSG00000062282	0.536800	0
ENSG00000067182	0.219279	0
ENSG00000070081	-0.133522	0
ENSG00000072310	0.783761	0
ENSG00000073792	-2.073927	1
ENSG00000077782	0.430960	0
ENSG00000078549	-0.133522	0
ENSG00000084674	0.713201	0
ENSG00000084734	0.854321	0
ENSG00000087237	0.536800	0
ENSG00000087245	0.219279	0
ENSG00000091583	-2.073927	1
ENSG00000096717	0.536800	0
ENSG00000099194	0.501520	0
ENSG00000100029	0.219279	0
ENSG00000100170	0.219279	0
ENSG00000100344	1.312962	0
ENSG00000100985	0.148719	0
ENSG00000101076	0.854321	0
ENSG00000101670	-2.073927	1
ENSG00000102265	0.360400	0
ENSG00000105221	0.783761	0
ENSG00000105329	0.677921	0
ENSG00000105550	0.924881	0
ENSG00000106128	0.113439	0
ENSG00000106459	0.113439	0
ENSG00000106633	0.854321	0
ENSG00000106799	0.325120	0
ENSG00000107249	0.536800	0
ENSG00000107796	0.536800	0
ENSG00000108064	0.219279	0
ENSG00000108821	0.572080	0
ENSG00000109424	0.430960	0
ENSG00000109501	-2.073927	1
ENSG00000109819	0.783761	0
ENSG00000110243	0.113439	0
ENSG00000110245	0.783761	0
ENSG00000110316	-2.073927	1
ENSG00000112033	0.430960	0
ENSG00000112164	1.171842	0
ENSG00000113081	0.113439	0
ENSG00000113161	0.430960	0
ENSG00000113389	0.007599	0
ENSG00000114739	0.219279	0
ENSG00000114812	-0.239362	0
ENSG00000115138	0.889601	0
ENSG00000115263	0.430960	0
ENSG00000115594	0.113439	0
ENSG00000116678	1.030722	0
ENSG00000118008	0.219279	0
ENSG00000118271	-0.027681	0
ENSG00000118432	0.430960	0
ENSG00000119737	-0.133522	0
ENSG00000120211	-0.027681	0
ENSG00000120341	-2.073927	1
ENSG00000120937	0.219279	0
ENSG00000121853	0.430960	0
ENSG00000122585	0.360400	0
ENSG00000122641	-0.133522	0
ENSG00000125505	0.783761	0
ENSG00000125538	0.360400	0
ENSG00000126262	-2.073927	1
ENSG00000126266	-2.073927	1
ENSG00000128285	0.430960	0
ENSG00000130203	0.430960	0
ENSG00000130513	2.325772	0
ENSG00000130748	-2.073927	1
ENSG00000131096	0.466240	0
ENSG00000131408	0.430960	0
ENSG00000131482	0.536800	0
ENSG00000132142	0.430960	0
ENSG00000132170	0.995442	0
ENSG00000132356	0.677921	0
ENSG00000132693	0.113439	0
ENSG00000132855	0.536800	0
ENSG00000133116	0.219279	0
ENSG00000134240	0.219279	0
ENSG00000134363	0.113439	0
ENSG00000134443	-0.133522	0
ENSG00000134817	0.113439	0
ENSG00000134962	0.677921	0
ENSG00000135100	0.924881	0
ENSG00000135218	0.536800	0
ENSG00000136244	0.430960	0
ENSG00000136305	0.007599	0
ENSG00000138031	-2.073927	1
ENSG00000138379	0.430960	0
ENSG00000138821	-2.073927	1
ENSG00000138823	0.713201	0
ENSG00000139269	-0.345202	0
ENSG00000139793	-2.073927	1
ENSG00000140675	1.136562	0
ENSG00000140718	-2.073927	1
ENSG00000141433	0.007599	0
ENSG00000142082	0.219279	0
ENSG00000142208	0.713201	0
ENSG00000142611	0.536800	0
ENSG00000145244	0.007599	0
ENSG00000145996	-2.073927	1
ENSG00000146469	-0.133522	0
ENSG00000146648	-0.133522	0
ENSG00000147246	0.219279	0
ENSG00000147485	-2.073927	1
ENSG00000147872	0.113439	0
ENSG00000147889	-2.073927	1
ENSG00000148444	-2.073927	1
ENSG00000148737	1.242402	0
ENSG00000151090	1.171842	0
ENSG00000152034	-0.133522	0
ENSG00000152254	0.430960	0
ENSG00000152804	-2.073927	1
ENSG00000155846	0.430960	0
ENSG00000157005	0.219279	0
ENSG00000157017	0.254559	0
ENSG00000157168	-0.027681	0
ENSG00000159224	0.536800	0
ENSG00000159346	0.536800	0
ENSG00000159723	0.536800	0
ENSG00000159899	0.113439	0
ENSG00000160712	0.325120	0
ENSG00000160867	0.536800	0
ENSG00000162244	-2.073927	1
ENSG00000162344	0.536800	0
ENSG00000162366	0.113439	0
ENSG00000162409	0.607360	0
ENSG00000163083	-0.239362	0
ENSG00000163394	0.219279	0
ENSG00000163513	0.430960	0
ENSG00000163581	0.607360	0
ENSG00000163631	-0.133522	0
ENSG00000164128	0.113439	0
ENSG00000164326	0.219279	0
ENSG00000164692	0.466240	0
ENSG00000164756	0.783761	0
ENSG00000164828	-2.073927	1
ENSG00000165029	0.430960	0
ENSG00000166603	1.136562	0
ENSG00000166949	0.430960	0
ENSG00000167772	0.430960	0
ENSG00000167910	0.536800	0
ENSG00000168916	-2.073927	1
ENSG00000169047	0.713201	0
ENSG00000169174	0.677921	0
ENSG00000169252	0.430960	0
ENSG00000169418	0.430960	0
ENSG00000169752	0.078159	0
ENSG00000170323	0.430960	0
ENSG00000170509	0.889601	0
ENSG00000171105	0.819041	0
ENSG00000171791	0.219279	0
ENSG00000172260	-2.073927	1
ENSG00000173153	0.219279	0
ENSG00000173334	-2.073927	1
ENSG00000173432	0.007599	0
ENSG00000174697	1.277682	0
ENSG00000174916	-0.133522	0
ENSG00000175206	0.325120	0
ENSG00000175426	-2.073927	1
ENSG00000175445	0.536800	0
ENSG00000175564	0.219279	0
ENSG00000175567	0.325120	0
ENSG00000176194	0.113439	0
ENSG00000176697	-2.073927	1
