ensembl_gene_id	score_D5_secretion_and_modulatability	missingness_D5_secretion_and_modulatability
ENSG00000006831	-0.744394	0
ENSG00000008197	-0.744394	0
ENSG00000010310	-0.029861	0
ENSG00000012504	-0.744394	0
ENSG00000025434	-0.744394	0
ENSG00000026103	-0.029861	0
ENSG00000043591	-0.744394	0
ENSG00000051341	1.399204	0
ENSG00000062282	-0.744394	0
ENSG00000067182	-0.029861	0
ENSG00000070081	1.399204	0
ENSG00000072310	-1.316020	0
ENSG00000073792	-0.744394	0
ENSG00000077782	-0.029861	0
ENSG00000078549	-0.029861	0
ENSG00000084674	0.827578	0
ENSG00000084734	-0.744394	0
ENSG00000087237	1.399204	0
ENSG00000087245	1.399204	0
ENSG00000091583	1.399204	0
ENSG00000096717	-0.744394	0
ENSG00000099194	-0.744394	0
ENSG00000100029	1.399204	0
ENSG00000100170	-0.029861	0
ENSG00000100344	-0.744394	0
ENSG00000100985	1.399204	0
ENSG00000101076	-0.744394	0
ENSG00000101670	1.399204	0
ENSG00000102265	1.399204	0
ENSG00000105221	-0.744394	0
ENSG00000105329	1.399204	0
ENSG00000105550	1.399204	0
ENSG00000106128	-0.029861	0
ENSG00000106459	-0.744394	0
ENSG00000106633	-0.744394	0
ENSG00000106799	-0.029861	0
ENSG00000107249	-0.744394	0
ENSG00000107796	-0.744394	0
ENSG00000108064	-0.744394	0
ENSG00000108821	0.827578	0
ENSG00000109424	-0.744394	0
ENSG00000109501	-0.029861	0
ENSG00000109819	-0.744394	0
ENSG00000110243	1.399204	0
ENSG00000110245	0.541765	0
ENSG00000110316	-0.029861	0
ENSG00000112033	-0.744394	0
ENSG00000112164	-0.029861	0
ENSG00000113081	1.399204	0
ENSG00000113161	-0.744394	0
ENSG00000113389	-0.029861	0
ENSG00000114739	-0.029861	0
ENSG00000114812	-0.029861	0
ENSG00000115138	1.399204	0
ENSG00000115263	1.399204	0
ENSG00000115594	-0.029861	0
ENSG00000116678	-0.601487	0
ENSG00000118008	1.399204	0
ENSG00000118271	1.399204	0
ENSG00000118432	-0.744394	0
ENSG00000119737	-0.744394	0
ENSG00000120211	1.399204	0
ENSG00000120341	-1.316020	0
ENSG00000120937	1.399204	0
ENSG00000121853	-0.744394	0
ENSG00000122585	0.541765	0
ENSG00000122641	1.399204	0
ENSG00000125505	-0.744394	0
ENSG00000125538	0.684672	0
ENSG00000126262	-0.744394	0
ENSG00000126266	-0.744394	0
ENSG00000128285	-0.744394	0
ENSG00000130203	1.399204	0
ENSG00000130513	1.399204	0
ENSG00000130748	-2.173459	1
ENSG00000131096	0.541765	0
ENSG00000131408	-0.744394	0
ENSG00000131482	-0.029861	0
ENSG00000132142	-1.316020	0
ENSG00000132170	-0.744394	0
ENSG00000132356	-0.744394	0
ENSG00000132693	1.399204	0
ENSG00000132855	1.399204	0
ENSG00000133116	0.827578	0
ENSG00000134240	-0.744394	0
ENSG00000134363	1.399204	0
ENSG00000134443	1.399204	0
ENSG00000134817	-0.744394	0
ENSG00000134962	-0.601487	0
ENSG00000135100	-0.744394	0
ENSG00000135218	-0.744394	0
ENSG00000136244	1.399204	0
ENSG00000136305	-0.744394	0
ENSG00000138031	-1.316020	0
ENSG00000138379	1.399204	0
ENSG00000138821	-0.029861	0
ENSG00000138823	-0.029861	0
ENSG00000139269	1.399204	0
ENSG00000139793	-0.744394	0
ENSG00000140675	-0.029861	0
ENSG00000140718	-0.744394	0
ENSG00000141433	1.399204	0
ENSG00000142082	-0.744394	0
ENSG00000142208	-0.744394	0
ENSG00000142611	-1.316020	0
ENSG00000145244	-0.601487	0
ENSG00000145996	-0.744394	0
ENSG00000146469	1.399204	0
ENSG00000146648	-0.601487	0
ENSG00000147246	-0.744394	0
ENSG00000147485	-0.744394	0
ENSG00000147872	-0.744394	0
ENSG00000147889	-0.744394	0
ENSG00000148444	-0.029861	0
ENSG00000148737	-0.744394	0
ENSG00000151090	-0.744394	0
ENSG00000152034	-0.744394	0
ENSG00000152254	-0.029861	0
ENSG00000152804	-0.744394	0
ENSG00000155846	-1.316020	0
ENSG00000157005	1.399204	0
ENSG00000157017	1.399204	0
ENSG00000157168	1.399204	0
ENSG00000159224	1.399204	0
ENSG00000159346	-0.744394	0
ENSG00000159723	1.399204	0
ENSG00000159899	-0.601487	0
ENSG00000160712	-0.029861	0
ENSG00000160867	-0.029861	0
ENSG00000162244	-0.744394	0
ENSG00000162344	1.399204	0
ENSG00000162366	1.399204	0
ENSG00000162409	-0.744394	0
ENSG00000163083	1.399204	0
ENSG00000163394	-0.744394	0
ENSG00000163513	-0.029861	0
ENSG00000163581	-0.744394	0
ENSG00000163631	1.399204	0
ENSG00000164128	0.541765	0
ENSG00000164326	1.399204	0
ENSG00000164692	0.827578	0
ENSG00000164756	-0.744394	0
ENSG00000164828	-0.744394	0
ENSG00000165029	-1.316020	0
ENSG00000166603	-0.744394	0
ENSG00000166949	-0.744394	0
ENSG00000167772	1.399204	0
ENSG00000167910	-0.744394	0
ENSG00000168916	-2.173459	1
ENSG00000169047	-1.316020	0
ENSG00000169174	1.399204	0
ENSG00000169252	-0.744394	0
ENSG00000169418	-0.601487	0
ENSG00000169752	1.399204	0
ENSG00000170323	-0.744394	0
ENSG00000170509	-0.744394	0
ENSG00000171105	-0.601487	0
ENSG00000171791	0.541765	0
ENSG00000172260	-0.029861	0
ENSG00000173153	-0.744394	0
ENSG00000173334	-0.744394	0
ENSG00000173432	1.399204	0
ENSG00000174697	1.399204	0
ENSG00000174916	-0.029861	0
ENSG00000175206	1.399204	0
ENSG00000175426	-2.173459	1
ENSG00000175445	1.399204	0
ENSG00000175564	-0.744394	0
ENSG00000175567	-0.744394	0
ENSG00000176194	-0.744394	0
ENSG00000176697	1.399204	0
ENSG00000178188	-0.744394	0
ENSG00000180616	-0.744394	0
ENSG00000181092	1.399204	0
ENSG00000181856	-0.744394	0
ENSG00000183914	1.399204	0
ENSG00000184304	-0.744394	0
ENSG00000185000	-0.744394	0
ENSG00000185950	-1.316020	0
ENSG00000186188	-0.744394	0
ENSG00000186951	-0.744394	0
ENSG00000187094	1.399204	0
ENSG00000187486	-0.744394	0
ENSG00000187555	-0.744394	0
ENSG00000187871	-0.029861	0
ENSG00000188778	-0.744394	0
ENSG00000188822	-0.744394	0
ENSG00000196689	-0.744394	0
ENSG00000197635	-0.029861	0
ENSG00000198793	-1.316020	0
ENSG00000198911	-1.316020	0
ENSG00000204133	1.399204	0
ENSG00000204952	1.399204	0
ENSG00000213398	1.399204	0
ENSG00000232810	1.399204	0
ENSG00000241335	-0.029861	0
ENSG00000244405	-0.744394	0
ENSG00000248099	1.399204	0
ENSG00000254647	1.399204	0
ENSG00000266265	-0.744394	0
ENSG00000275410	-0.744394	0
