ensembl_gene_id	score_D6_mechanism_differentiation	missingness_D6_mechanism_differentiation
ENSG00000006831	-0.133981	0
ENSG00000008197	-0.133981	0
ENSG00000010310	-1.640567	0
ENSG00000012504	-1.640567	0
ENSG00000025434	-1.075597	0
ENSG00000026103	-0.133981	0
ENSG00000043591	-1.075597	0
ENSG00000051341	1.749251	0
ENSG00000062282	-0.698951	0
ENSG00000067182	-0.133981	0
ENSG00000070081	-0.133981	0
ENSG00000072310	-0.133981	0
ENSG00000073792	-0.133981	0
ENSG00000077782	-0.133981	0
ENSG00000078549	-1.075597	0
ENSG00000084674	1.184281	0
ENSG00000084734	-0.133981	0
ENSG00000087237	-0.698951	0
ENSG00000087245	-0.133981	0
ENSG00000091583	1.749251	0
ENSG00000096717	-0.133981	0
ENSG00000099194	-0.698951	0
ENSG00000100029	-0.133981	0
ENSG00000100170	-0.133981	0
ENSG00000100344	-0.133981	0
ENSG00000100985	-0.133981	0
ENSG00000101076	-0.133981	0
ENSG00000101670	-0.133981	0
ENSG00000102265	-0.133981	0
ENSG00000105221	-1.075597	0
ENSG00000105329	1.749251	0
ENSG00000105550	1.184281	0
ENSG00000106128	-1.075597	0
ENSG00000106459	-0.133981	0
ENSG00000106633	-0.698951	0
ENSG00000106799	-0.133981	0
ENSG00000107249	-0.133981	0
ENSG00000107796	-0.133981	0
ENSG00000108064	-0.133981	0
ENSG00000108821	-0.133981	0
ENSG00000109424	-0.133981	0
ENSG00000109501	-0.133981	0
ENSG00000109819	-0.133981	0
ENSG00000110243	-0.133981	0
ENSG00000110245	1.184281	0
ENSG00000110316	-0.133981	0
ENSG00000112033	-0.133981	0
ENSG00000112164	-1.640567	0
ENSG00000113081	1.749251	0
ENSG00000113161	-0.698951	0
ENSG00000113389	-0.133981	0
ENSG00000114739	-0.698951	0
ENSG00000114812	-1.075597	0
ENSG00000115138	-0.133981	0
ENSG00000115263	1.184281	0
ENSG00000115594	-0.133981	0
ENSG00000116678	-0.698951	0
ENSG00000118008	1.749251	0
ENSG00000118271	-0.133981	0
ENSG00000118432	-1.640567	0
ENSG00000119737	-1.640567	0
ENSG00000120211	1.749251	0
ENSG00000120341	-0.133981	0
ENSG00000120937	1.749251	0
ENSG00000121853	-1.640567	0
ENSG00000122585	-0.698951	0
ENSG00000122641	1.749251	0
ENSG00000125505	-0.133981	0
ENSG00000125538	1.749251	0
ENSG00000126262	-1.640567	0
ENSG00000126266	-1.640567	0
ENSG00000128285	-1.075597	0
ENSG00000130203	1.749251	0
ENSG00000130513	1.184281	0
ENSG00000130748	-0.698951	1
ENSG00000131096	1.184281	0
ENSG00000131408	-1.075597	0
ENSG00000131482	-0.133981	0
ENSG00000132142	-0.698951	0
ENSG00000132170	-0.698951	0
ENSG00000132356	-1.075597	0
ENSG00000132693	-0.133981	0
ENSG00000132855	1.184281	0
ENSG00000133116	1.749251	0
ENSG00000134240	-0.133981	0
ENSG00000134363	-0.133981	0
ENSG00000134443	1.749251	0
ENSG00000134817	-1.640567	0
ENSG00000134962	-0.698951	0
ENSG00000135100	-0.133981	0
ENSG00000135218	-0.133981	0
ENSG00000136244	1.749251	0
ENSG00000136305	-0.133981	0
ENSG00000138031	-0.698951	0
ENSG00000138379	1.184281	0
ENSG00000138821	-0.133981	0
ENSG00000138823	-0.698951	0
ENSG00000139269	1.184281	0
ENSG00000139793	-0.133981	0
ENSG00000140675	-1.640567	0
ENSG00000140718	-0.133981	0
ENSG00000141433	1.749251	0
ENSG00000142082	-0.133981	0
ENSG00000142208	-1.075597	0
ENSG00000142611	-0.133981	0
ENSG00000145244	-0.133981	0
ENSG00000145996	-0.133981	0
ENSG00000146469	1.749251	0
ENSG00000146648	-0.133981	0
ENSG00000147246	-1.640567	0
ENSG00000147485	-0.133981	0
ENSG00000147872	-0.133981	0
ENSG00000147889	-0.133981	0
ENSG00000148444	-0.133981	0
ENSG00000148737	-0.133981	0
ENSG00000151090	-1.640567	0
ENSG00000152034	-1.075597	0
ENSG00000152254	-0.133981	0
ENSG00000152804	-0.133981	0
ENSG00000155846	-0.133981	0
ENSG00000157005	1.749251	0
ENSG00000157017	1.184281	0
ENSG00000157168	1.749251	0
ENSG00000159224	1.749251	0
ENSG00000159346	-0.133981	0
