ensembl_gene_id	score_D7_safety_proxy	missingness_D7_safety_proxy
ENSG00000006831	-0.366782	0
ENSG00000008197	-1.142817	0
ENSG00000010310	1.185286	0
ENSG00000012504	0.797269	0
ENSG00000025434	-0.366782	0
ENSG00000026103	-0.366782	0
ENSG00000043591	-0.366782	0
ENSG00000051341	1.185286	0
ENSG00000062282	-0.366782	0
ENSG00000067182	-0.366782	0
ENSG00000070081	-0.366782	0
ENSG00000072310	-1.142817	0
ENSG00000073792	-0.366782	0
ENSG00000077782	-1.142817	0
ENSG00000078549	-0.366782	0
ENSG00000084674	1.185286	0
ENSG00000084734	-0.366782	0
ENSG00000087237	0.797269	0
ENSG00000087245	-0.366782	0
ENSG00000091583	-0.366782	0
ENSG00000096717	-1.142817	0
ENSG00000099194	-0.366782	0
ENSG00000100029	-0.366782	0
ENSG00000100170	-1.142817	0
ENSG00000100344	-1.142817	0
ENSG00000100985	-0.366782	0
ENSG00000101076	-1.142817	0
ENSG00000101670	-0.366782	0
ENSG00000102265	-0.366782	0
ENSG00000105221	-1.142817	0
ENSG00000105329	1.185286	0
ENSG00000105550	2.349337	0
ENSG00000106128	-0.366782	0
ENSG00000106459	-1.142817	0
ENSG00000106633	-0.366782	0
ENSG00000106799	-0.366782	0
ENSG00000107249	-1.142817	0
ENSG00000107796	-0.366782	0
ENSG00000108064	-1.142817	0
ENSG00000108821	-0.366782	0
ENSG00000109424	-1.142817	0
ENSG00000109501	-0.366782	0
ENSG00000109819	-0.366782	0
ENSG00000110243	-0.366782	0
ENSG00000110245	0.797269	0
ENSG00000110316	-1.142817	0
ENSG00000112033	-1.142817	0
ENSG00000112164	1.185286	0
ENSG00000113081	1.185286	0
ENSG00000113161	0.409252	0
ENSG00000113389	-0.366782	0
ENSG00000114739	0.409252	0
ENSG00000114812	-0.366782	0
ENSG00000115138	-0.366782	0
ENSG00000115263	2.349337	0
ENSG00000115594	-0.366782	0
ENSG00000116678	0.797269	0
ENSG00000118008	1.185286	0
ENSG00000118271	-0.366782	0
