ensembl_gene_id	score_D8_platform_deliverability	missingness_D8_platform_deliverability
ENSG00000006831	-0.813169	0
ENSG00000008197	-0.813169	0
ENSG00000010310	-0.309739	0
ENSG00000012504	-0.813169	0
ENSG00000025434	-0.813169	0
ENSG00000026103	-0.309739	0
ENSG00000043591	-0.813169	0
ENSG00000051341	1.368362	0
ENSG00000062282	-0.813169	0
ENSG00000067182	-0.309739	0
ENSG00000070081	1.368362	0
ENSG00000072310	-0.813169	0
ENSG00000073792	-0.813169	0
ENSG00000077782	-0.309739	0
ENSG00000078549	-0.309739	0
ENSG00000084674	1.368362	0
ENSG00000084734	-0.813169	0
ENSG00000087237	1.368362	0
ENSG00000087245	1.368362	0
ENSG00000091583	1.368362	0
ENSG00000096717	-0.813169	0
ENSG00000099194	-0.813169	0
ENSG00000100029	1.368362	0
ENSG00000100170	-0.309739	0
ENSG00000100344	-0.813169	0
ENSG00000100985	1.368362	0
ENSG00000101076	-0.813169	0
ENSG00000101670	1.368362	0
ENSG00000102265	1.368362	0
ENSG00000105221	-0.813169	0
ENSG00000105329	1.368362	0
ENSG00000105550	1.368362	0
ENSG00000106128	-0.309739	0
ENSG00000106459	-0.813169	0
ENSG00000106633	-0.813169	0
ENSG00000106799	-0.309739	0
ENSG00000107249	-0.813169	0
ENSG00000107796	-0.813169	0
ENSG00000108064	-0.813169	0
ENSG00000108821	1.368362	0
ENSG00000109424	-0.813169	0
ENSG00000109501	-0.309739	0
ENSG00000109819	-0.813169	0
ENSG00000110243	1.368362	0
ENSG00000110245	1.368362	0
ENSG00000110316	-0.309739	0
ENSG00000112033	-0.813169	0
ENSG00000112164	-0.309739	0
ENSG00000113081	1.368362	0
ENSG00000113161	-0.813169	0
ENSG00000113389	-0.309739	0
ENSG00000114739	-0.309739	0
ENSG00000114812	-0.309739	0
ENSG00000115138	1.368362	0
ENSG00000115263	1.368362	0
ENSG00000115594	-0.309739	0
ENSG00000116678	-0.309739	0
ENSG00000118008	1.368362	0
ENSG00000118271	1.368362	0
ENSG00000118432	-0.813169	0
ENSG00000119737	-0.813169	0
ENSG00000120211	1.368362	0
ENSG00000120341	-0.813169	0
ENSG00000120937	1.368362	0
ENSG00000121853	-0.813169	0
ENSG00000122585	1.368362	0
ENSG00000122641	1.368362	0
ENSG00000125505	-0.813169	0
ENSG00000125538	0.864931	0
ENSG00000126262	-0.813169	0
ENSG00000126266	-0.813169	0
