ensembl_gene_id	score_D2_clinical_signal	missingness_D2_clinical_signal
ENSG00000006831	-0.546470	1
ENSG00000008197	-0.546470	1
ENSG00000010310	2.634369	0
ENSG00000012504	1.822240	0
ENSG00000025434	-0.546470	1
ENSG00000026103	-0.546470	1
ENSG00000043591	-0.546470	1
ENSG00000051341	-0.546470	1
ENSG00000062282	1.145466	0
ENSG00000067182	-0.546470	1
ENSG00000070081	-0.546470	1
ENSG00000072310	-0.546470	1
ENSG00000073792	-0.546470	1
ENSG00000077782	-0.546470	1
ENSG00000078549	-0.546470	1
ENSG00000084674	2.499015	0
ENSG00000084734	-0.546470	1
ENSG00000087237	1.822240	0
ENSG00000087245	-0.546470	1
ENSG00000091583	-0.546470	1
ENSG00000096717	-0.546470	1
ENSG00000099194	1.145466	0
ENSG00000100029	-0.546470	1
ENSG00000100170	-0.546470	1
ENSG00000100344	-0.546470	1
ENSG00000100985	-0.546470	1
ENSG00000101076	-0.546470	1
ENSG00000101670	-0.546470	1
ENSG00000102265	-0.546470	1
ENSG00000105221	-0.546470	1
ENSG00000105329	-0.546470	1
ENSG00000105550	1.822240	0
ENSG00000106128	-0.546470	1
ENSG00000106459	-0.546470	1
ENSG00000106633	1.145466	0
ENSG00000106799	-0.546470	1
ENSG00000107249	-0.546470	1
ENSG00000107796	-0.546470	1
ENSG00000108064	-0.546470	1
ENSG00000108821	-0.546470	1
ENSG00000109424	-0.546470	1
ENSG00000109501	-0.546470	1
ENSG00000109819	-0.546470	1
ENSG00000110243	-0.546470	1
ENSG00000110245	1.822240	0
ENSG00000110316	-0.546470	1
ENSG00000112033	-0.546470	1
ENSG00000112164	2.634369	0
ENSG00000113081	-0.546470	1
ENSG00000113161	2.499015	0
ENSG00000113389	-0.546470	1
ENSG00000114739	1.145466	0
ENSG00000114812	-0.546470	1
ENSG00000115138	-0.546470	1
ENSG00000115263	1.957595	0
ENSG00000115594	-0.546470	1
ENSG00000116678	1.822240	0
ENSG00000118008	-0.546470	1
ENSG00000118271	-0.546470	1
ENSG00000118432	1.822240	0
ENSG00000119737	0.468691	0
ENSG00000120211	-0.546470	1
ENSG00000120341	-0.546470	1
ENSG00000120937	-0.546470	1
ENSG00000121853	1.822240	0
ENSG00000122585	1.145466	0
ENSG00000122641	-0.546470	1
ENSG00000125505	-0.546470	1
ENSG00000125538	-0.546470	1
ENSG00000126262	0.468691	0
ENSG00000126266	1.145466	0
ENSG00000128285	-0.546470	1
ENSG00000130203	-0.546470	1
ENSG00000130513	1.145466	0
ENSG00000130748	-0.546470	1
ENSG00000131096	1.145466	0
ENSG00000131408	-0.546470	1
ENSG00000131482	-0.546470	1
ENSG00000132142	1.145466	0
ENSG00000132170	2.499015	0
ENSG00000132356	-0.546470	1
ENSG00000132693	-0.546470	1
ENSG00000132855	1.822240	0
ENSG00000133116	-0.546470	1
ENSG00000134240	-0.546470	1
ENSG00000134363	-0.546470	1
ENSG00000134443	-0.546470	1
ENSG00000134817	0.468691	0
ENSG00000134962	1.145466	0
ENSG00000135100	-0.546470	1
ENSG00000135218	-0.546470	1
ENSG00000136244	-0.546470	1
ENSG00000136305	-0.546470	1
ENSG00000138031	0.468691	0
ENSG00000138379	1.145466	0
ENSG00000138821	-0.546470	1
ENSG00000138823	2.499015	0
ENSG00000139269	0.468691	0
ENSG00000139793	-0.546470	1
ENSG00000140675	2.499015	0
ENSG00000140718	-0.546470	1
ENSG00000141433	-0.546470	1
ENSG00000142082	-0.546470	1
ENSG00000142208	-0.546470	1
ENSG00000142611	-0.546470	1
ENSG00000145244	-0.546470	1
ENSG00000145996	-0.546470	1
ENSG00000146469	-0.546470	1
ENSG00000146648	-0.546470	1
ENSG00000147246	1.822240	0
ENSG00000147485	-0.546470	1
ENSG00000147872	-0.546470	1
ENSG00000147889	-0.546470	1
ENSG00000148444	-0.546470	1
ENSG00000148737	-0.546470	1
ENSG00000151090	2.499015	0
ENSG00000152034	-0.546470	1
ENSG00000152254	-0.546470	1
ENSG00000152804	-0.546470	1
ENSG00000155846	-0.546470	1
ENSG00000157005	-0.546470	1
ENSG00000157017	1.822240	0
ENSG00000157168	-0.546470	1
ENSG00000159224	-0.546470	1
ENSG00000159346	-0.546470	1
ENSG00000159723	-0.546470	1
ENSG00000159899	-0.546470	1
ENSG00000160712	-0.546470	1
ENSG00000160867	-0.546470	1
ENSG00000162244	-0.546470	1
ENSG00000162344	1.822240	0
ENSG00000162366	-0.546470	1
ENSG00000162409	-0.546470	1
ENSG00000163083	-0.546470	1
ENSG00000163394	1.145466	0
ENSG00000163513	-0.546470	1
ENSG00000163581	-0.546470	1
ENSG00000163631	-0.546470	1
ENSG00000164128	-0.546470	1
ENSG00000164326	-0.546470	1
ENSG00000164692	-0.546470	1
ENSG00000164756	-0.546470	1
ENSG00000164828	-0.546470	1
ENSG00000165029	-0.546470	1
ENSG00000166603	2.634369	0
ENSG00000166949	-0.546470	1
ENSG00000167772	1.145466	0
ENSG00000167910	-0.546470	1
ENSG00000168916	-0.546470	1
ENSG00000169047	-0.546470	1
ENSG00000169174	2.499015	0
ENSG00000169252	-0.546470	1
ENSG00000169418	1.145466	0
ENSG00000169752	-0.546470	1
ENSG00000170323	-0.546470	1
ENSG00000170509	-0.546470	1
ENSG00000171105	-0.546470	1
ENSG00000171791	0.468691	0
ENSG00000172260	-0.546470	1
ENSG00000173153	-0.546470	1
ENSG00000173334	-0.546470	1
ENSG00000173432	-0.546470	1
ENSG00000174697	1.822240	0
ENSG00000174916	-0.546470	1
ENSG00000175206	-0.546470	1
ENSG00000175426	-0.546470	1
ENSG00000175445	1.822240	0
ENSG00000175564	-0.546470	1
ENSG00000175567	-0.546470	1
ENSG00000176194	-0.546470	1
ENSG00000176697	-0.546470	1
ENSG00000178188	-0.546470	1
ENSG00000180616	-0.546470	1
ENSG00000181092	-0.546470	1
