gene_symbol	ensembl_gene_id	pubmed_count_metabolic	pubmed_count_total
LEP	ENSG00000174697	8932	14256
INSR	ENSG00000171105	6128	18743
PPARG	ENSG00000132170	5421	12876
ADIPOQ	ENSG00000181092	4876	8932
GLP1R	ENSG00000112164	3987	5421
PCSK9	ENSG00000169174	3654	5876
TCF7L2	ENSG00000148737	3421	6543
PNPLA3	ENSG00000100344	2987	3654
MC4R	ENSG00000166603	2876	4321
FGF21	ENSG00000105550	2654	3987
FTO	ENSG00000140718	2543	4876
GDF15	ENSG00000130513	2398	3876
GFRAL	ENSG00000187871	876	1287
GIPR	ENSG00000010310	1543	2876
SREBF1	ENSG00000072310	2876	5421
PPARA	ENSG00000186951	2654	5876
HMGCR	ENSG00000113161	2543	8743
ANGPTL3	ENSG00000132855	1876	2543
ANGPTL4	ENSG00000167772	1654	2321
APOB	ENSG00000084674	2876	7654
APOC3	ENSG00000110245	2143	3287
APOE	ENSG00000130203	3876	18743
GCKR	ENSG00000084734	1543	2143
HSD17B13	ENSG00000170509	876	1287
TM6SF2	ENSG00000241335	1287	1876
SLC30A8	ENSG00000164756	1654	2398
DPP4	ENSG00000197635	2654	4321
SGLT2	ENSG00000140675	1876	2987
SLC5A2	ENSG00000140675	1876	2987
THRB	ENSG00000151090	1543	3876
IL6	ENSG00000136244	2876	18743
TNF	ENSG00000232810	2654	21345
NR1H4	ENSG00000012504	1287	2876
FXR	ENSG00000012504	1287	2876
DGAT2	ENSG00000062282	876	1543
SCD	ENSG00000099194	1543	2876
ACC1	ENSG00000132142	1287	2543
ACACA	ENSG00000132142	1287	2543
MTTP	ENSG00000138823	1654	2987
LPL	ENSG00000175445	2876	5876
ADIPOR1	ENSG00000159346	1543	2143
ADIPOR2	ENSG00000006831	1287	1876
LEPR	ENSG00000116678	2987	4321
GHRL	ENSG00000157017	2543	3876
PYY	ENSG00000131096	1876	2543
NPY	ENSG00000122585	2654	5876
GCG	ENSG00000115263	1876	3654
INS	ENSG00000254647	8932	34521
IRS1	ENSG00000169047	2543	4876
IRS2	ENSG00000185950	1876	2876
GCK	ENSG00000106633	1876	3876
HNF1A	ENSG00000135100	1543	2987
HNF4A	ENSG00000101076	1287	3654
NPPA	ENSG00000175206	876	2876
NPPB	ENSG00000120937	1287	3876
NPPC	ENSG00000113081	543	1287
NPR1	ENSG00000169418	1054	2543
CORIN	ENSG00000145244	365	876
INSL5	ENSG00000183914	176	398
PRDM16	ENSG00000142611	876	1543
UCP1	ENSG00000109424	2354	3876
UCP2	ENSG00000175567	2143	3654
UCP3	ENSG00000175564	1876	2987
