ensembl_gene_id	score_D1_genetic_causal	missingness_D1_genetic_causal
ENSG00000006831	-0.443063	1
ENSG00000008197	0.273611	0
ENSG00000010310	0.271377	0
ENSG00000012504	-0.443063	1
ENSG00000025434	-0.443063	1
ENSG00000026103	-0.443063	1
ENSG00000043591	-0.443063	1
ENSG00000051341	-0.443063	1
ENSG00000062282	-0.335331	0
ENSG00000067182	-0.443063	1
ENSG00000070081	-0.443063	1
ENSG00000072310	-0.443063	1
ENSG00000073792	0.470805	0
ENSG00000077782	-0.443063	1
ENSG00000078549	-0.443063	1
ENSG00000084674	2.431357	0
ENSG00000084734	-0.067495	0
ENSG00000087237	-0.443063	1
ENSG00000087245	-0.443063	1
ENSG00000091583	-0.303375	0
ENSG00000096717	-0.443063	1
ENSG00000099194	-0.443063	1
ENSG00000100029	-0.443063	1
ENSG00000100170	-0.443063	1
ENSG00000100344	0.655578	0
ENSG00000100985	-0.443063	1
ENSG00000101076	-0.443063	1
ENSG00000101670	1.129061	0
ENSG00000102265	-0.443063	1
ENSG00000105221	-0.443063	1
ENSG00000105329	-0.443063	1
ENSG00000105550	0.206913	0
ENSG00000106128	-0.443063	1
ENSG00000106459	-0.443063	1
ENSG00000106633	1.510043	0
ENSG00000106799	-0.443063	1
ENSG00000107249	-0.443063	1
ENSG00000107796	-0.443063	1
ENSG00000108064	-0.443063	1
ENSG00000108821	-0.443063	1
ENSG00000109424	-0.443063	1
ENSG00000109501	0.399776	0
ENSG00000109819	-0.443063	1
ENSG00000110243	-0.443063	1
ENSG00000110245	2.016709	0
ENSG00000110316	0.273611	0
ENSG00000112033	-0.443063	1
ENSG00000112164	0.238715	0
ENSG00000113081	-0.443063	1
ENSG00000113161	-0.443063	1
ENSG00000113389	-0.443063	1
ENSG00000114739	-0.443063	1
ENSG00000114812	-0.443063	1
ENSG00000115138	-0.443063	1
ENSG00000115263	-0.443063	1
ENSG00000115594	-0.443063	1
ENSG00000116678	0.626529	0
ENSG00000118008	-0.443063	1
ENSG00000118271	-0.443063	1
ENSG00000118432	-0.443063	1
ENSG00000119737	-0.443063	1
ENSG00000120211	-0.443063	1
ENSG00000120341	0.261781	0
ENSG00000120937	-0.443063	1
ENSG00000121853	-0.443063	1
ENSG00000122585	-0.443063	1
ENSG00000122641	-0.443063	1
ENSG00000125505	-0.266131	0
ENSG00000125538	-0.443063	1
ENSG00000126262	-0.443063	1
ENSG00000126266	-0.443063	1
ENSG00000128285	-0.443063	1
ENSG00000130203	2.840650	0
ENSG00000130513	1.211938	0
ENSG00000130748	0.273611	0
ENSG00000131096	-0.443063	1
ENSG00000131408	-0.443063	1
ENSG00000131482	-0.443063	1
ENSG00000132142	-0.443063	1
ENSG00000132170	0.374060	0
ENSG00000132356	-0.443063	1
ENSG00000132693	-0.443063	1
ENSG00000132855	1.144911	0
ENSG00000133116	-0.443063	1
ENSG00000134240	-0.443063	1
ENSG00000134363	-0.443063	1
ENSG00000134443	-0.443063	1
ENSG00000134817	-0.443063	1
ENSG00000134962	-0.443063	1
ENSG00000135100	0.471518	0
ENSG00000135218	-0.443063	1
ENSG00000136244	-0.443063	1
ENSG00000136305	-0.443063	1
ENSG00000138031	0.362591	0
ENSG00000138379	-0.443063	1
ENSG00000138821	0.354456	0
ENSG00000138823	-0.303375	0
ENSG00000139269	-0.443063	1
ENSG00000139793	0.193001	0
ENSG00000140675	-0.443063	1
ENSG00000140718	3.000000	0
ENSG00000141433	-0.443063	1
ENSG00000142082	-0.443063	1
ENSG00000142208	-0.443063	1
ENSG00000142611	-0.443063	1
ENSG00000145244	-0.443063	1
ENSG00000145996	0.913423	0
ENSG00000146469	-0.443063	1
ENSG00000146648	-0.443063	1
ENSG00000147246	-0.443063	1
ENSG00000147485	-0.223598	0
ENSG00000147872	-0.443063	1
ENSG00000147889	0.842774	0
ENSG00000148444	-0.286162	0
ENSG00000148737	3.000000	0
ENSG00000151090	-0.215345	0
ENSG00000152034	-0.443063	1
ENSG00000152254	1.911800	0
ENSG00000152804	0.565341	0
ENSG00000155846	-0.443063	1
ENSG00000157005	-0.443063	1
ENSG00000157017	-0.443063	1
ENSG00000157168	-0.443063	1
ENSG00000159224	-0.443063	1
ENSG00000159346	-0.443063	1
ENSG00000159723	-0.443063	1
ENSG00000159899	-0.443063	1
ENSG00000160712	-0.443063	1
ENSG00000160867	-0.443063	1
ENSG00000162244	0.261781	0
ENSG00000162344	-0.443063	1
ENSG00000162366	-0.443063	1
ENSG00000162409	-0.443063	1
ENSG00000163083	-0.443063	1
ENSG00000163394	-0.443063	1
ENSG00000163513	-0.443063	1
ENSG00000163581	-0.443063	1
ENSG00000163631	-0.443063	1
ENSG00000164128	-0.443063	1
ENSG00000164326	-0.443063	1
ENSG00000164692	-0.443063	1
ENSG00000164756	2.540073	0
ENSG00000164828	-0.188952	0
ENSG00000165029	1.955711	0
ENSG00000166603	3.000000	0
ENSG00000166949	-0.443063	1
ENSG00000167772	0.719768	0
ENSG00000167910	-0.443063	1
ENSG00000168916	0.249531	0
ENSG00000169047	0.580277	0
ENSG00000169174	3.000000	0
ENSG00000169252	-0.443063	1
ENSG00000169418	-0.443063	1
ENSG00000169752	-0.443063	1
ENSG00000170323	-0.443063	1
ENSG00000170509	0.835052	0
ENSG00000171105	0.204339	0
ENSG00000171791	-0.443063	1
ENSG00000172260	0.714021	0
ENSG00000173153	-0.443063	1
ENSG00000173334	-0.056867	0
ENSG00000173432	-0.443063	1
ENSG00000174697	0.714021	0
ENSG00000174916	-0.443063	1
ENSG00000175206	-0.443063	1
ENSG00000175426	0.273611	0
ENSG00000175445	2.835295	0
ENSG00000175564	-0.443063	1
ENSG00000175567	-0.443063	1
ENSG00000176194	-0.443063	1
ENSG00000176697	0.351775	0
ENSG00000178188	1.145875	0
ENSG00000180616	-0.443063	1
ENSG00000181092	2.769767	0
ENSG00000181856	-0.136621	0
ENSG00000183914	-0.443063	1
ENSG00000184304	0.184866	0
ENSG00000185000	-0.443063	1
ENSG00000185950	-0.443063	1
ENSG00000186188	-0.443063	1
ENSG00000186951	-0.443063	1
ENSG00000187094	-0.443063	1
ENSG00000187486	0.986405	0
ENSG00000187555	-0.443063	1
ENSG00000187871	0.047491	0
ENSG00000188778	-0.443063	1
ENSG00000188822	-0.443063	1
ENSG00000196689	-0.443063	1
ENSG00000197635	-0.443063	1
ENSG00000198793	-0.443063	1
ENSG00000198911	-0.443063	1
ENSG00000204133	-0.443063	1
ENSG00000204952	-0.443063	1
ENSG00000213398	0.400742	0
ENSG00000232810	-0.443063	1
ENSG00000241335	2.236747	0
ENSG00000244405	0.273611	0
ENSG00000248099	-0.443063	1
ENSG00000254647	-0.443063	1
ENSG00000266265	0.082117	0
ENSG00000275410	0.842774	0
