gene_symbol	ensembl_gene_id	uniprot_id	protein_class	is_secreted	signal_peptide	orf_length_bp
A1BG	ENSG00000121410	P04217	secreted_protein	True	True	1485
A1CF	ENSG00000148584	Q9NQ94	rna_binding	False	False	1782
A2M	ENSG00000175899	P01023	secreted_peptide	True	True	4422
A2ML1	ENSG00000166535	A8K2U0	secreted_protein	True	True	4362
A3GALT2	ENSG00000184389	U3KPV4	enzyme	False	False	1020
A4GALT	ENSG00000128274	Q9NPC4	enzyme	False	False	1059
A4GNT	ENSG00000118017	Q9UNA3	enzyme	False	False	1020
AAAS	ENSG00000094914	Q9NRG9	transport_protein	False	False	1638
AACS	ENSG00000081760	Q86V21	enzyme	False	False	2016
AADAC	ENSG00000114771	P22760	enzyme	False	False	1197
AADACL2	ENSG00000197953	Q6P093	secreted_enzyme	True	True	1203
AADACL3	ENSG00000188984	Q5VUY0	enzyme	False	False	1221
AADACL4	ENSG00000204518	Q5VUY2	enzyme	False	False	1221
AADAT	ENSG00000109576	Q8N5Z0	enzyme	False	False	1275
AAGAB	ENSG00000103591	Q6PD74	transport_protein	False	False	945
AAK1	ENSG00000115977	Q2M2I8	kinase	False	False	2883
AAMDC	ENSG00000087884	Q9H7C9	unknown	False	False	366
AAMP	ENSG00000127837	Q13685	membrane_protein	False	False	1302
AANAT	ENSG00000129673	Q16613	enzyme	False	False	621
AAR2	ENSG00000131043	Q9Y312	unknown	False	False	1152
AARD	ENSG00000205002	Q4LEZ3	unknown	False	False	465
AARS1	ENSG00000090861	P49588	rna_binding	False	False	2904
AARS2	ENSG00000124608	Q5JTZ9	rna_binding	False	False	2955
AARSD1	ENSG00000108825	Q9BTE6	unknown	False	False	1236
AASDH	ENSG00000157426	Q4L235	enzyme	False	False	3294
AASDHPPT	ENSG00000149313	Q9NRN7	enzyme	False	False	927
AASS	ENSG00000008311	Q9UDR5	enzyme	False	False	2778
AATF	ENSG00000275700	Q9NY61	unknown	False	False	1680
AATK	ENSG00000181409	Q6ZMQ8	kinase	False	False	4122
ABAT	ENSG00000183044	P80404	enzyme	False	False	1500
ABCA1	ENSG00000165029	O95477	transport_protein	False	False	6783
ABCA10	ENSG00000154263	Q8WWZ4	transport_protein	False	False	4629
ABCA12	ENSG00000144452	Q86UK0	transport_protein	False	False	7785
ABCA13	ENSG00000179869	Q86UQ4	transport_protein	False	False	15174
ABCA2	ENSG00000107331	Q9BZC7	transport_protein	False	False	7305
ABCA3	ENSG00000167972	Q99758	transport_protein	False	False	5112
ABCA4	ENSG00000198691	P78363	transport_protein	False	False	6819
ABCA5	ENSG00000154265	Q8WWZ7	transport_protein	False	False	4926
ABCA6	ENSG00000154262	Q8N139	transport_protein	False	False	4851
ABCA7	ENSG00000064687	Q8IZY2	transport_protein	False	False	6438
ABCA8	ENSG00000141338	O94911	transport_protein	False	False	4863
ABCA9	ENSG00000154258	Q8IUA7	transport_protein	False	False	4872
ABCB1	ENSG00000085563	P08183	transport_protein	False	False	3840
ABCB10	ENSG00000135776	Q9NRK6	transport_protein	False	False	2214
ABCB11	ENSG00000073734	O95342	transport_protein	False	False	3963
ABCB4	ENSG00000005471	P21439	transport_protein	False	False	3858
ABCB5	ENSG00000004846	Q2M3G0	transport_protein	False	False	3771
ABCB6	ENSG00000115657	Q9NP58	secreted_transfer_protein	True	False	2526
ABCB7	ENSG00000131269	O75027	transport_protein	False	False	2256
ABCB8	ENSG00000197150	Q9NUT2	transporter	False	False	2205
ABCB9	ENSG00000150967	Q9NP78	transport_protein	False	False	2298
ABCC1	ENSG00000103222	P33527	transport_protein	False	False	4593
ABCC10	ENSG00000124574	Q5T3U5	transport_protein	False	False	4476
ABCC11	ENSG00000121270	Q96J66	transport_protein	False	False	4146
ABCC12	ENSG00000140798	Q96J65	transport_protein	False	False	4077
ABCC2	ENSG00000023839	Q92887	transport_protein	False	False	4635
ABCC3	ENSG00000108846	O15438	transport_protein	False	False	4581
ABCC4	ENSG00000125257	O15439	transport_protein	False	False	3975
ABCC5	ENSG00000114770	O15440	transport_protein	False	False	4311
ABCC6	ENSG00000091262	O95255	transport_protein	False	False	4509
ABCC8	ENSG00000006071	Q09428	transport_protein	False	False	4743
ABCC9	ENSG00000069431	O60706	transport_protein	False	False	4647
ABCD1	ENSG00000101986	P33897	transport_protein	False	False	2235
ABCD2	ENSG00000173208	Q9UBJ2	transport_protein	False	False	2220
ABCD3	ENSG00000117528	P28288	transport_protein	False	False	1977
ABCD4	ENSG00000119688	O14678	transport_protein	False	False	1818
ABCE1	ENSG00000164163	P61221	enzyme	False	False	1797
ABCF1	ENSG00000204574	Q8NE71	unknown	False	False	2535
ABCF2	ENSG00000033050	Q9UG63	unknown	False	False	1869
ABCF3	ENSG00000161204	Q9NUQ8	unknown	False	False	2127
ABCG1	ENSG00000160179	P45844	transport_protein	False	False	2034
ABCG2	ENSG00000118777	Q9UNQ0	transport_protein	False	False	1965
ABCG4	ENSG00000172350	Q9H172	transport_protein	False	False	1938
ABCG5	ENSG00000138075	Q9H222	transport_protein	False	False	1953
ABCG8	ENSG00000143921	Q9H221	transport_protein	False	False	2019
ABHD1	ENSG00000143994	Q96SE0	enzyme	False	False	1215
ABHD10	ENSG00000144827	Q9NUJ1	enzyme	False	False	918
ABHD11	ENSG00000106077	Q8NFV4	enzyme	False	False	918
ABHD12	ENSG00000100997	Q8N2K0	enzyme	False	False	1194
ABHD12B	ENSG00000131969	Q7Z5M8	enzyme	False	False	1086
ABHD13	ENSG00000139826	Q7L211	enzyme	False	False	1011
ABHD14A	ENSG00000248487	Q9BUJ0	enzyme	False	False	813
ABHD14B	ENSG00000114779	Q96IU4	enzyme	False	False	630
ABHD15	ENSG00000168792	Q6UXT9	secreted_protein	True	True	1404
ABHD16A	ENSG00000204427	O95870	enzyme	False	False	1674
ABHD16B	ENSG00000183260	Q9H3Z7	enzyme	False	False	1407
ABHD17A	ENSG00000129968	Q96GS6	enzyme	False	False	930
ABHD17B	ENSG00000107362	Q5VST6	enzyme	False	False	864
ABHD17C	ENSG00000136379	Q6PCB6	enzyme	False	False	987
ABHD18	ENSG00000164074	Q0P651	secreted_protein	True	True	1242
ABHD2	ENSG00000140526	P08910	enzyme	False	False	1275
ABHD3	ENSG00000158201	Q8WU67	enzyme	False	False	1227
ABHD4	ENSG00000100439	Q8TB40	enzyme	False	False	1026
ABHD5	ENSG00000011198	Q8WTS1	lipid_droplet	False	False	1047
ABHD6	ENSG00000163686	Q9BV23	enzyme	False	False	1011
ABHD8	ENSG00000127220	Q96I13	enzyme	False	False	1317
ABI1	ENSG00000136754	Q8IZP0	cytoskeletal	False	False	1524
ABI2	ENSG00000138443	Q9NYB9	cytoskeletal	False	False	1539
ABI3	ENSG00000108798	Q9P2A4	signaling_adapter	False	False	1098
ABI3BP	ENSG00000154175	Q7Z7G0	secreted_protein	True	True	3204
ABITRAM	ENSG00000119328	Q9NX38	unknown	False	False	543
ABL1	ENSG00000097007	P00519	kinase	False	False	3390
ABL2	ENSG00000143322	P42684	kinase	False	False	3546
ABLIM1	ENSG00000099204	O14639	cytoskeletal	False	False	2334
ABLIM2	ENSG00000163995	Q6H8Q1	unknown	False	False	1833
ABLIM3	ENSG00000173210	O94929	unknown	False	False	2049
ABR	ENSG00000159842	Q12979	unknown	False	False	2577
ABRA	ENSG00000174429	Q8N0Z2	transport_protein	False	False	1143
ABRACL	ENSG00000146386	Q9P1F3	unknown	False	False	243
ABRAXAS1	ENSG00000163322	Q6UWZ7	regulator	False	False	1227
ABRAXAS2	ENSG00000165660	Q15018	cytoskeletal	False	False	1245
ABT1	ENSG00000146109	Q9ULW3	transcription_factor	False	False	816
ABTB1	ENSG00000114626	Q969K4	unknown	False	False	1434
ABTB2	ENSG00000166016	Q8N961	unknown	False	False	3075
ABTB3	ENSG00000151136	A6QL63	membrane_protein	False	False	3312
ACAA1	ENSG00000060971	P09110	enzyme	False	False	1272
ACAA2	ENSG00000167315	P42765	enzyme	False	False	1191
ACACA	ENSG00000275176	Q13085	enzyme	False	False	7038
ACACB	ENSG00000076555	O00763	enzyme	False	False	7374
ACAD10	ENSG00000111271	Q6JQN1	enzyme	False	False	3177
ACAD11	ENSG00000240303	Q709F0	enzyme	False	False	2340
ACAD8	ENSG00000151498	Q9UKU7	enzyme	False	False	1245
ACAD9	ENSG00000177646	Q9H845	enzyme	False	False	1863
ACADL	ENSG00000115361	P28330	enzyme	False	False	1290
ACADM	ENSG00000117054	P11310	enzyme	False	False	1263
ACADS	ENSG00000122971	P16219	enzyme	False	False	1236
ACADSB	ENSG00000196177	P45954	enzyme	False	False	1296
ACADVL	ENSG00000072778	P49748	enzyme	False	False	1965
ACAN	ENSG00000157766	P16112	secreted_protein	True	True	7590
ACAP1	ENSG00000072818	Q15027	transport_protein	False	False	2220
ACAP2	ENSG00000114331	Q15057	membrane_protein	False	False	2334
ACAP3	ENSG00000131584	Q96P50	unknown	False	False	2502
ACAT1	ENSG00000075239	P24752	enzyme	False	False	1281
ACAT2	ENSG00000120437	Q9BWD1	enzyme	False	False	1191
ACBD3	ENSG00000182827	Q9H3P7	membrane_protein	False	False	1584
ACBD4	ENSG00000181513	Q8NC06	transfer_protein	False	False	804
ACBD5	ENSG00000107897	Q5T8D3	transport_protein	False	False	1602
ACBD6	ENSG00000230124	Q9BR61	transfer_protein	False	False	846
ACBD7	ENSG00000176244	Q8N6N7	transfer_protein	False	False	264
ACCS	ENSG00000110455	Q96QU6	unknown	False	False	1503
ACCSL	ENSG00000205126	Q4AC99	unknown	False	False	1704
ACD	ENSG00000102977	Q96AP0	unknown	False	False	1374
ACE	ENSG00000159640	P12821	secreted_enzyme	True	True	3918
ACE2	ENSG00000130234	Q9BYF1	secreted_enzyme	True	True	2415
ACER1	ENSG00000167769	Q8TDN7	enzyme	False	False	792
ACER2	ENSG00000177076	Q5QJU3	enzyme	False	False	825
ACER3	ENSG00000078124	Q9NUN7	enzyme	False	False	801
ACHE	ENSG00000087085	P22303	secreted_enzyme	True	True	1842
ACIN1	ENSG00000100813	Q9UKV3	rna_binding	False	False	4023
ACKR1	ENSG00000213088	Q16570	gpcr	False	False	1008
ACKR2	ENSG00000144648	O00590	gpcr	False	False	1152
ACKR3	ENSG00000144476	P25106	gpcr	False	False	1086
ACKR4	ENSG00000129048	Q9NPB9	gpcr	False	False	1050
ACKR5	ENSG00000166856	O15218	membrane_protein	False	False	1212
ACLY	ENSG00000131473	P53396	enzyme	False	False	3303
ACMSD	ENSG00000153086	Q8TDX5	enzyme	False	False	1008
ACO1	ENSG00000122729	P21399	rna_binding	False	False	2667
ACO2	ENSG00000100412	Q99798	enzyme	False	False	2340
ACOD1	ENSG00000102794	A6NK06	enzyme	False	False	1443
ACOT1	ENSG00000184227	Q86TX2	enzyme	False	False	1263
ACOT11	ENSG00000162390	Q8WXI4	enzyme	False	False	1821
ACOT12	ENSG00000172497	Q8WYK0	enzyme	False	False	1665
ACOT13	ENSG00000112304	Q9NPJ3	cytoskeletal	False	False	420
ACOT2	ENSG00000119673	P49753	enzyme	False	False	1449
ACOT4	ENSG00000177465	Q8N9L9	enzyme	False	False	1263
ACOT6	ENSG00000205669	Q3I5F7	enzyme	False	False	1263
ACOT7	ENSG00000097021	O00154	enzyme	False	False	1140
ACOT8	ENSG00000101473	O14734	enzyme	False	False	957
ACOT9	ENSG00000123130	Q9Y305	enzyme	False	False	1317
ACOX1	ENSG00000161533	Q15067	enzyme	False	False	1980
ACOX2	ENSG00000168306	Q99424	enzyme	False	False	2043
ACOX3	ENSG00000087008	O15254	enzyme	False	False	2100
ACOXL	ENSG00000153093	Q9NUZ1	enzyme	False	False	1641
ACP1	ENSG00000143727	P24666	enzyme	False	False	474
ACP2	ENSG00000134575	P11117	enzyme	False	True	1269
