gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
GLP1R	ENSG00000112164	type_2_diabetes	0.92	342
GIPR	ENSG00000010310	type_2_diabetes	0.78	156
GCG	ENSG00000115263	type_2_diabetes	0.71	189
FGF21	ENSG00000105550	nafld	0.85	287
FGF19	ENSG00000162344	nafld	0.74	142
GDF15	ENSG00000130513	obesity	0.79	218
GDF15	ENSG00000130513	type_2_diabetes	0.66	167
GDF15	ENSG00000130513	mash	0.71	98
GFRAL	ENSG00000187871	obesity	0.81	89
LEP	ENSG00000174697	obesity	0.95	612
LEPR	ENSG00000116678	obesity	0.88	445
MC4R	ENSG00000166603	obesity	0.91	398
POMC	ENSG00000115138	obesity	0.84	276
NPY	ENSG00000122585	obesity	0.69	184
PYY	ENSG00000131096	obesity	0.72	154
GHRL	ENSG00000157017	obesity	0.66	132
INS	ENSG00000254647	type_2_diabetes	0.93	1280
INSR	ENSG00000171105	type_2_diabetes	0.82	398
IRS1	ENSG00000169047	type_2_diabetes	0.79	342
IRS2	ENSG00000185950	type_2_diabetes	0.75	289
ADIPOQ	ENSG00000181092	type_2_diabetes	0.83	412
ADIPOR1	ENSG00000159346	type_2_diabetes	0.74	186
ADIPOR2	ENSG00000006831	type_2_diabetes	0.72	178
PPARG	ENSG00000132170	type_2_diabetes	0.87	498
PPARA	ENSG00000186951	nafld	0.79	267
PPARD	ENSG00000112033	type_2_diabetes	0.71	189
SREBF1	ENSG00000072310	nafld	0.81	312
SREBF2	ENSG00000198911	nafld	0.74	218
HNF1A	ENSG00000135100	type_2_diabetes	0.85	276
HNF4A	ENSG00000101076	type_2_diabetes	0.83	289
TCF7L2	ENSG00000148737	type_2_diabetes	0.94	687
SLC2A4	ENSG00000181856	type_2_diabetes	0.78	298
SLC2A2	ENSG00000163581	type_2_diabetes	0.76	267
PCSK9	ENSG00000169174	nafld	0.78	312
APOC3	ENSG00000110245	nafld	0.81	189
APOB	ENSG00000084674	nafld	0.79	276
ANGPTL3	ENSG00000132855	nafld	0.74	167
ANGPTL4	ENSG00000167772	nafld	0.71	154
ANGPTL8	ENSG00000204952	nafld	0.69	132
THRB	ENSG00000151090	mash	0.92	176
FXR	ENSG00000012504	nafld	0.85	218
NR1H4	ENSG00000012504	nafld	0.85	218
SCD	ENSG00000099194	nafld	0.73	189
ACC1	ENSG00000132142	nafld	0.71	167
ACACA	ENSG00000132142	nafld	0.71	167
DGAT2	ENSG00000062282	nafld	0.74	178
DGAT1	ENSG00000185000	nafld	0.65	112
MTTP	ENSG00000138823	nafld	0.79	189
PNPLA3	ENSG00000100344	mash	0.96	498
TM6SF2	ENSG00000241335	mash	0.88	276
HSD17B13	ENSG00000170509	mash	0.84	218
MBOAT7	ENSG00000125505	mash	0.81	189
GCKR	ENSG00000084734	mash	0.83	267
APOE	ENSG00000130203	nafld	0.71	178
LPL	ENSG00000175445	type_2_diabetes	0.74	189
INSL5	ENSG00000183914	type_2_diabetes	0.62	78
INSL6	ENSG00000120211	obesity	0.58	56
NPR1	ENSG00000169418	obesity	0.71	142
